tokenID,name,file_name,description,attributes[Rarity]
116,Pod #116,116.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
117,Pod #117,117.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
118,Pod #118,118.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
119,Pod #119,119.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
120,Pod #120,120.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
121,Pod #121,121.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
122,Pod #122,122.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
123,Pod #123,123.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
124,Pod #124,124.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
125,Pod #125,125.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
126,Pod #126,126.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
127,Pod #127,127.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
128,Pod #128,128.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
129,Pod #129,129.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
130,Pod #130,130.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
131,Pod #131,131.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
132,Pod #132,132.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
133,Pod #133,133.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
134,Pod #134,134.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
135,Pod #135,135.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
136,Pod #136,136.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
137,Pod #137,137.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
138,Pod #138,138.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
139,Pod #139,139.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
140,Pod #140,140.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
141,Pod #141,141.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
142,Pod #142,142.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
143,Pod #143,143.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
144,Pod #144,144.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
145,Pod #145,145.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
146,Pod #146,146.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
147,Pod #147,147.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
148,Pod #148,148.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
149,Pod #149,149.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
150,Pod #150,150.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
151,Pod #151,151.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
152,Pod #152,152.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
153,Pod #153,153.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
154,Pod #154,154.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
155,Pod #155,155.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
156,Pod #156,156.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
157,Pod #157,157.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
158,Pod #158,158.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
159,Pod #159,159.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
160,Pod #160,160.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
161,Pod #161,161.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
162,Pod #162,162.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
163,Pod #163,163.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
164,Pod #164,164.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
165,Pod #165,165.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
166,Pod #166,166.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
